depth,age,sed.AR.Data,Conc,AR
204.24,4609,0.0525,4.9420820885,0.2594593096
206.34,4649,0.0525,2.2194793925,0.1165226681
208.44,4689,0.0525,1.1637842774,0.0610986746
210.54,4729,0.05125,1.6455611376,0.0843350083
212.59,4769,0.05025,2.3410202536,0.1176362677
214.6,4809,0.05,3.3035590774,0.1651779539
216.6,4849,0.04875,0.6771445159,0.0330107951
218.55,4889,0.04825,2.9832362833,0.1439411507
220.48,4929,0.04725,2.9233429587,0.1381279548
222.37,4969,0.047,1.5208707892,0.0714809271
224.25,5009,0.04525,1.6814014195,0.0760834142
226.06,5049,0.04575,1.8355318286,0.0839755812
227.89,5089,0.04525,2.8765850675,0.1301654743
229.7,5129,0.04475,2.5354812704,0.1134627869
231.49,5169,0.04375,2.7873444268,0.1219463187
233.24,5209,0.04475,1.5313338538,0.06852719
235.03,5249,0.0435,1.907575773,0.0829795461
236.77,5289,0.043,4.2933097472,0.1846123191
238.49,5329,0.0435,2.5805049917,0.1122519671
240.23,5369,0.0435,4.3094206841,0.1874597998
241.97,5409,0.04275,6.9157118276,0.2956466806
243.68,5449,0.043,1.6447363448,0.0707236628
245.4,5489,0.04325,0.3971139897,0.0171751801
247.13,5529,0.04275,3.0225810972,0.1292153419
248.84,5569,0.04225,1.7979369667,0.0759628368
250.53,5609,0.04275,0.4035081714,0.0172499743
252.24,5649,0.0435,1.3023724081,0.0566531998
253.98,5689,0.0435,1.9339045929,0.0841248498
255.72,5729,0.043,3.5068057161,0.1507926458
257.44,5769,0.0435,1.9384231842,0.0843214085
259.18,5809,0.04375,1.6528887969,0.0723138849
260.93,5849,0.04475,3.3967459907,0.1520043831
262.72,5889,0.04475,2.9115363336,0.1302912509
264.51,5929,0.0445,0.7480952301,0.0332902377
266.29,5969,0.0455,0.364677832,0.0165928414
268.11,6009,0.04575,0.8904366842,0.0407374783
269.94,6049,0.0465,1.8382038279,0.085476478
271.8,6089,0.04675,0.0587438731,0.0027462761
273.67,6129,0.04825,1.1736912089,0.0566306008
275.6,6169,0.04875,2.385449116,0.1162906444
277.55,6209,0.04875,2.1917578628,0.1068481958
279.5,6249,0.05125,2.0204060628,0.1035458107
281.55,6289,0.05125,2.8343544314,0.1452606646
283.6,6329,0.0515,2.1077542008,0.1085493413
285.66,6369,0.054,1.3078239012,0.0706224907
287.82,6409,0.05375,0.9771254773,0.0525204944
289.97,6449,0.05475,1.8225122795,0.0997825473
292.16,6489,0.05625,1.7849389601,0.1004028165
294.41,6529,0.0555,1.6343021826,0.0907037711
296.63,6569,0.05825,1.7091773466,0.0995595804
298.96,6609,0.05725,2.3938302786,0.1370467835
301.25,6649,0.05825,2.105613693,0.1226519976
303.58,6689,0.0585,3.5448433199,0.2073733342
305.92,6729,0.06,2.1891249714,0.1313474983
308.32,6769,0.059,1.3573658792,0.0800845869
310.68,6809,0.05925,2.675261162,0.1585092239
313.05,6849,0.05975,2.8983418192,0.1731759237
315.44,6889,0.06025,2.1117977582,0.1272358149
317.85,6929,0.059,0.6543456759,0.0386063949
320.21,6969,0.05925,6.3405038184,0.3756748512
322.58,7009,0.06,3.4764237917,0.2085854275
324.98,7049,0.05825,4.9760678692,0.2898559534
327.31,7089,0.0575,2.1107905205,0.1213704549
329.61,7129,0.05775,0.9449869785,0.054572998
331.92,7169,0.057,4.786507666,0.272830937
334.2,7209,0.05525,0.2848312195,0.0157369249
336.41,7249,0.055,1.7756257483,0.0976594162
338.61,7289,0.055,2.2026841177,0.1211476265
340.81,7329,0.05375,5.0160262153,0.2696114091
342.96,7369,0.053,3.8558993129,0.2043626636
345.08,7409,0.05325,2.0680451807,0.1101234059
347.21,7449,0.0525,3.4418061883,0.1806948249
349.31,7489,0.05125,4.2134337217,0.2159384782
351.36,7529,0.0525,4.1726625834,0.2190647856
353.46,7569,0.05125,4.9942623517,0.2559559455
355.51,7609,0.05225,3.4249506791,0.178953673
357.6,7649,0.05125,2.9514758524,0.1512631374
359.65,7689,0.05125,4.1189555358,0.2110964712
361.7,7729,0.05125,2.2920452845,0.1174673208
363.75,7769,0.05125,2.9990766462,0.1537026781
365.8,7809,0.05225,6.2330880765,0.325678852
367.89,7849,0.05125,2.8036743064,0.1436883082
369.94,7889,0.0525,4.8330036021,0.2537326891
372.04,7929,0.0525,4.2596491006,0.2236315778
374.14,7969,0.0525,4.1100758912,0.2157789843
376.24,8009,0.05375,5.5343512256,0.2974713784
378.39,8049,0.0535,1.8573661966,0.0993690915
380.53,8089,0.05525,2.8711767243,0.158632514
382.74,8129,0.05375,3.7802657285,0.2031892829
384.89,8169,0.05675,2.4660951596,0.1399509003
387.16,8209,0.05675,2.3185408984,0.131577196
389.43,8249,0.057,1.8907957883,0.1077753599
391.71,8289,0.058,2.1884792506,0.1269317965
394.03,8329,0.05825,2.0728142265,0.1207414287
396.36,8369,0.0595,2.8961893868,0.1723232685
398.74,8409,0.06125,2.8845537376,0.1766789164
401.19,8449,0.061,2.3298261607,0.1421193958
403.63,8489,0.06125,2.8368187875,0.1737551507
406.08,8529,0.06175,3.4117409522,0.2106750038
408.55,8569,0.063,3.6410825042,0.2293881978
411.07,8609,0.06325,6.6811188185,0.4225807653
413.6,8649,0.0635,3.2104922948,0.2038662607
416.14,8689,0.06475,3.3463799598,0.2166781024
418.73,8729,0.0635,1.8690736012,0.1186861737
421.27,8769,0.06575,1.7376783811,0.1142523536
423.9,8809,0.065,5.257710128,0.3417511583
426.5,8849,0.06575,0.7012539533,0.0461074474
429.13,8889,0.06575,3.6287097692,0.2385876673
431.76,8929,0.06525,6.1367132632,0.4004205404
434.37,8969,0.066,4.072198002,0.2687650681
437.01,9009,0.06625,7.5822890516,0.5023266497
439.66,9049,0.06575,5.035231538,0.3310664736
442.29,9089,0.067,2.5395527329,0.1701500331
444.97,9129,0.0665,1.1237196373,0.0747273559
447.63,9169,0.067,1.781495616,0.1193602063
450.31,9209,0.0675,0.9901111201,0.0668325006
453.01,9249,0.068,1.1156067508,0.0758612591
455.73,9289,0.0685,1.2124639145,0.0830537781
458.47,9329,0.068,0.4073152537,0.0276974373
461.19,9369,0.06975,0.7138048399,0.0497878876
463.98,9409,0.06975,1.4592707898,0.1017841376
466.77,9449,0.06975,0.6578778555,0.0458869804
469.56,9489,0.072,1.8825132041,0.1355409507
472.44,9529,0.07075,2.5562722997,0.1808562652
475.27,9569,0.0745,2.2115523786,0.1647606522
478.25,9609,0.0735,1.189146443,0.0874022636
481.19,9649,0.075,2.0964600403,0.157234503
484.19,9689,0.07625,1.1496199331,0.0876585199
487.24,9729,0.078,0.850490072,0.0663382256
490.36,9769,0.078,0.9355628867,0.0729739052
493.48,9809,0.08,2.6281505948,0.2102520476
496.68,9849,0.08225,0.8797801406,0.0723619166
499.97,9889,0.08425,2.880426453,0.2426759287
503.34,9929,0.08525,2.3682991447,0.2018975021
506.75,9969,0.087,1.942316719,0.1689815545
510.23,10009,0.08675,1.3773202806,0.1194825343
513.7,10049,0.087,2.3147729654,0.201385248
517.18,10089,0.089,2.0833852177,0.1854212844
520.74,10129,0.08925,1.8883561048,0.1685357824
524.31,10169,0.0885,1.4388487261,0.1273381123
527.85,10209,0.08825,1.5902675994,0.1403411156
531.38,10249,0.08825,3.4244025301,0.3022035233
534.91,10289,0.087,2.8902833508,0.2514546515
538.39,10329,0.086,0.7444451447,0.0640222824
541.83,10369,0.08625,1.6317813597,0.1407411423
545.28,10409,0.08225,2.3241638729,0.1911624785
